week_start,orders_target,revenue_target,ly_week_start,ly_orders,ly_revenue,plan_growth_pct,target_version
2025-12-29,779,54058,2024-12-30,445,30890,75.0,plan_2026_v1
2026-01-05,810,58234,2025-01-06,463,33276,75.0,plan_2026_v1
2026-01-12,900,68109,2025-01-13,514,38919,75.0,plan_2026_v1
2026-01-19,828,55460,2025-01-20,473,31691,75.0,plan_2026_v1
2026-01-26,774,57034,2025-01-27,442,32591,75.0,plan_2026_v1
2026-02-02,800,61466,2025-02-03,457,35123,75.0,plan_2026_v1
2026-02-09,845,59794,2025-02-10,483,34168,75.0,plan_2026_v1
2026-02-16,802,59585,2025-02-17,458,34049,75.0,plan_2026_v1
2026-02-23,807,57620,2025-02-24,461,32926,75.0,plan_2026_v1
2026-03-02,838,58985,2025-03-03,479,33706,75.0,plan_2026_v1
2026-03-09,875,56550,2025-03-10,500,32315,75.0,plan_2026_v1
2026-03-16,817,59654,2025-03-17,467,34088,75.0,plan_2026_v1
2026-03-23,831,68006,2025-03-24,475,38860,75.0,plan_2026_v1
2026-03-30,896,60298,2025-03-31,512,34456,75.0,plan_2026_v1
2026-04-06,854,57958,2025-04-07,488,33119,75.0,plan_2026_v1
2026-04-13,892,66235,2025-04-14,510,37849,75.0,plan_2026_v1
2026-04-20,919,68310,2025-04-21,525,39035,75.0,plan_2026_v1
2026-04-27,998,75063,2025-04-28,570,42893,75.0,plan_2026_v1
2026-05-04,880,72478,2025-05-05,503,41416,75.0,plan_2026_v1
2026-05-11,889,65137,2025-05-12,508,37221,75.0,plan_2026_v1
2026-05-18,962,70820,2025-05-19,550,40469,75.0,plan_2026_v1
2026-05-25,915,63587,2025-05-26,523,36336,75.0,plan_2026_v1
2026-06-01,1006,74990,2025-06-02,575,42852,75.0,plan_2026_v1
2026-06-08,894,67665,2025-06-09,511,38666,75.0,plan_2026_v1
2026-06-15,917,68378,2025-06-16,524,39073,75.0,plan_2026_v1
2026-06-22,952,73167,2025-06-23,544,41810,75.0,plan_2026_v1
2026-06-29,936,58879,2025-06-30,535,33645,75.0,plan_2026_v1
2026-07-06,891,64446,2025-07-07,509,36826,75.0,plan_2026_v1
2026-07-13,1062,74734,2025-07-14,607,42705,75.0,plan_2026_v1
2026-07-20,1043,73794,2025-07-21,596,42168,75.0,plan_2026_v1
2026-07-27,982,79842,2025-07-28,561,45624,75.0,plan_2026_v1
2026-08-03,982,74975,2025-08-04,561,42843,75.0,plan_2026_v1
2026-08-10,964,80736,2025-08-11,551,46135,75.0,plan_2026_v1
2026-08-17,976,65998,2025-08-18,558,37713,75.0,plan_2026_v1
2026-08-24,1045,80029,2025-08-25,597,45731,75.0,plan_2026_v1
2026-08-31,1141,81142,2025-09-01,652,46367,75.0,plan_2026_v1
2026-09-07,1097,87807,2025-09-08,627,50176,75.0,plan_2026_v1
2026-09-14,1003,77054,2025-09-15,573,44031,75.0,plan_2026_v1
2026-09-21,1101,88560,2025-09-22,629,50606,75.0,plan_2026_v1
2026-09-28,1160,89495,2025-09-29,663,51140,75.0,plan_2026_v1
2026-10-05,1162,86341,2025-10-06,664,49338,75.0,plan_2026_v1
2026-10-12,1102,81715,2025-10-13,630,46694,75.0,plan_2026_v1
2026-10-19,1158,89779,2025-10-20,662,51302,75.0,plan_2026_v1
2026-10-26,1150,87052,2025-10-27,657,49744,75.0,plan_2026_v1
2026-11-02,1194,92368,2025-11-03,682,52782,75.0,plan_2026_v1
2026-11-09,1152,84657,2025-11-10,658,48376,75.0,plan_2026_v1
2026-11-16,1225,96591,2025-11-17,700,55195,75.0,plan_2026_v1
2026-11-23,1213,92364,2025-11-24,693,52779,75.0,plan_2026_v1
2026-11-30,1122,83258,2025-12-01,641,47576,75.0,plan_2026_v1
2026-12-07,1183,101320,2025-12-08,676,57897,75.0,plan_2026_v1
2026-12-14,1209,84209,2025-12-15,691,48119,75.0,plan_2026_v1
2026-12-21,1200,85779,2025-12-22,686,49016,75.0,plan_2026_v1
2026-12-28,1230,87237,2025-12-29,703,49850,75.0,plan_2026_v1
